a cargo de	in charge of,responsible for,by
a causa de	because of,as a result of,at the cause of
a chorros	in abundance,plenty,lots
a diario	daily,every day
a eso de	around,about
a fin de cuentas	in the end,after all
a la vez	at once,at the same time
a largo plazo	in the long run,long-term,long term
así que	so that,which means that
bicho raro	oddball,rare bug
camino de	along the way,on the way
cien por cien	100%,with certainty,precisely
claro que sí	of course,yes,indeed
cuatro gatos	a handful of people,half a dozen people,four cats
echar agua al vino	water down
echar de menos	miss,feel the absence of
echar mano de	make use of,resort to

