ambicioso	ambitious
pesado	annoying
discutidor	argumentative
malhumorado	bad-tempered
creído	big-headed
engreído	big-headed
de mala leche	bitchy
venenoso	bitchy
valiente	brave
cascarrabias	cantankerous
despreocupado	carefree
descuidado	careless
prudente	cautious
encantador	charming
alegre	cheerful
presumido	conceited
conservador	conservative
convencional	conventional
cobarde	cowardly
loco	crazy
chiflado	nuts
cruel	cruel
soso	dull
aburrido	boring
coqueta	flirtatious
simpático	friendly
generoso	generous
trabajador	hard-working
honesto	honest
amable	kind
tranquilo	laid-back
vago	lazy
fiel	loyal
tacaño	mean
modesto	modest
de humor cambiante	moody
inocentón	naive
travieso	naughty
de actitud abierta	open-minded
de mentalidad cerrada	narrow-minded
piadoso	pious
cortés	polite
orgulloso	proud
fiable	reliable
seguro de sí mismo	self-confident
egoísta	selfish
prudente	sensible
sensible	sensitive
tímido	shy
introvertido	introverted
estricto	strict
terco	stubborn
comprensivo	sympathetic
hablador	talkative
digno de confianza	trustworthy
falso	two-faced
raro	weird
